Url,Title,Description,Offer minimal price,Currency,Image url 1,Image url 2,Image url 3,Image url 4,Image url 5
https://dewalt.store/?uniq=main,Официальный интернет-магазин инструментов DEWALT,Ремонт как признание в любви! Скидки до -66% и -20% сверху на распродажу,,,,,,,
https://dewalt.store/?uniq=instr,Оригинальные инструменты DEWALT. Официальная гарантия!,Ремонт как признание в любви! Скидки до -66% и -20% сверху на распродажу,,,,,,,
https://dewalt.store/?uniq=msk,Оригинальные инструменты DEWALT по выгодным ценам! Скидка 5% на первый заказ!,Ремонт как признание в любви! Скидки до -66% и -20% сверху на распродажу,,,,,,,







